Search Query,Paper Title,Goal/Focus/Problem,year,link,Procedures,contribution,Evaluation setting,# participants-participants profile,# sessions (length each session),Results,Database,Gap in research,Weakness in Argument
NLP in Reading Decoding,Machine Reading Comprehension Framework Based on Self-Training for Domain Adaptation,"To propose a self-training framework for machine reading comprehension (MRC) that can adapt to different domains without human intervention. The problem that this paper addresses is the domain adaptation problem, which is the significant performance deterioration of MRC systems when the domains are changed",2021,https://ieeexplore-ieee-org.ezproxy.library.dal.ca/document/9336622/,This paper proposes a self-training framework for machine reading comprehension (MRC) in different domains. The framework consists of three components:Pseudo-answer extractor: This component extracts possible phrases that can be answers from a document using a dual pointer network model.Pseudo-question generator: This component generates questions related to the pseudo-answers using a modified pointer generator model with bi-directional attention.MRC system: This component predicts answers to the questions using a BERT-based model with a special token for discriminating between source and target domains.,,"The evaluation settings are as follows:The paper uses two Korean question-answering datasets in different domains: KorQuAD (based on Wikipedia) and a civil affair dataset (based on web pages).The paper uses BERT-Base as the pretrained language model for the MRC system, and modifies a pointer generator model for the pseudo-question generator.The paper uses exact match (EM) and F1-score at the word level as the evaluation metrics for the MRC system",N/A,N/A,"The MRC system showed significant drops in F1-score and exact match (EM) when applied to a new domain (civil affair) without any adaptation, compared to the original domain (Wikipedia).",IEEE,,
Machine Learning in Early Reading Education,The Implementation of Precision Education for Learning Analytics ,"To explore how to implement precision education that includes diagnosis, prediction, prevention and treatment for a blended Python programming course.",2020,https://ieeexplore-ieee-org.ezproxy.library.dal.ca/document/9368432/,,To propose a novel conceptual framework of precision education based on the principles of precision medicine and to demonstrate its feasibility and usefulness through an empirical study.,," The study involved 71 college students from a national university in Taiwan, who took a blended Python programming course from February to June 20201.",,"To show that the dashboards can help teachers diagnose students’ learning status and problems, that the machine learning algorithms can predict students’ learning performance and identify at-risk students, that the reading strategies can improve students’ reading comprehension and engagement, and that the learning activities can prevent the occurrence of bad learning patterns.",IEEE,,
Machine Learning in Early Reading Education,Modeling Reading Behaviors: An Automatic Approach to Eye Movement Analytics,"The goal of this paper is to propose and evaluate an automatic approach for eye movement analytics that can identify and classify readers’ reading patterns and cognitive styles from their eye movements when reading scientific texts. The paper also examines the associations between the eye movement analytics and the readers’ reading comprehension and performance1. The paper aims to contribute to the field of reading instruction and adaptive learning by providing a simple, fast, and unobtrusive method for capturing and utilizing eye movement data.",2021,https://ieeexplore-ieee-org.ezproxy.library.dal.ca/document/9410616/,,"The paper proposes and evaluates an automatic approach to eye movement analytics using the K-means++ clustering method. The paper also examines the associations between reading behaviors, cognitive styles, and comprehension of scientific texts.",The paper uses eye-tracking data from 64 participants who read seven pages of illustrated texts on the topic of cooking. The paper also uses the Style of Processing Scale (SOPS) to measure the participants’ cognitive styles and a comprehension test to measure their understanding of the texts.,"The paper involves 64 adults, of whom 36 are undergraduate students and 28 are graduate students (48 females). All participants are native speakers of Chinese and fluent in reading Chinese texts. The participants are classified as 32 visualizers and 32 verbalizers based on their scores on the SOPS.","The paper conducts a single session for each participant, lasting approximately 40 minutes. The session consists of a practice session, a reading session, and a comprehension test. The participants are allowed to read the texts freely without any time limitation. The participants’ eye movements are recorded by a Tobii EyeX eye tracker.","The paper finds that the proposed approach can correctly discriminate among three reading patterns of reading through, re-reading, and re-inspecting. The paper also finds that reading comprehension is positively correlated with re-reading and negatively correlated with reading through and re-inspecting. The paper also finds that visualizers tend to dwell more on graphical sections than verbalizers, and that verbalizers benefit more from re-inspecting than visualizers.",IEEE,,
Decoding Skills in Early Reading,readlet: Reading for Understanding,"To develop and test ReadLet, an ICT platform for assessing reading efficiency in primary school children, using multimodal data (text, speech, finger touch) and cloud computing.",2018,https://ieeexplore-ieee-org.ezproxy.library.dal.ca/document/8596412/,,"To provide a novel, ecological, non-invasive, and low-cost screening technology for reading skills, based on advanced linguistic annotation, readability assessment, speech recognition, and statistical modelling.",,"About 200 pupils aged 8 to 11, varying for socioeconomic status, language (Italian, French and Arabic) and geographical area (Italy, Switzerland and Morocco).","A tablet-based test session that combines assessment of fluency and reading comprehension, by asking the child to read a short text (either aloud or silently) while sliding the finger across the words, and then to answer a few multiple-choice questions on the text content.",,IEEE,,
Enhanced Reading Tools,Acquiring Metacognitive Reading Technique through Web 2.0 Application – An Empirical study with ESL Learners,"The paper aims to test whether using Read Theory, a gamification tool in academic activities, might have an effect and inspire learners in enhancing the level of reading comprehension.",2023,https://ieeexplore-ieee-org.ezproxy.library.dal.ca/document/10073783/,,The paper provides empirical evidence for the effectiveness of Read Theory in improving reading skills and motivation among ESL learners in engineering colleges. It also offers insights into the features and benefits of using gamification and online tools in language teaching and learning.,,"The paper involves 30 first year engineering students from ECE and EEE departments in Sathyabama Institute of Science and Technology in Chennai, India. The students were divided into a control group and an experimental group, each consisting of 15 students.","The paper describes the procedure of the experimental study, which lasted for two semesters. In the first semester, the control group followed the traditional method of reading instruction, while the experimental group used Read Theory as a supplementary tool. In the second semester, the same groups switched roles. The paper also explains how the pre-test, post-test, and questionnaire were administered and analyzed.", The paper reports that the experimental group who used Read Theory showed significant improvement in their reading test scores and vocabulary knowledge compared to the control group who followed the conventional method. The paper also presents the results of a questionnaire that revealed positive attitudes and feedback from the students who used Read Theory.,IEEE,,
Enhanced Reading Tools,Using mobile technology for reading assessment,"The paper aims to present ReadLet, an ICT platform that uses mobile technology and natural language processing to assess and monitor reading skills in children.",2020,https://ieeexplore-ieee-org.ezproxy.library.dal.ca/document/9357173/,,"The paper demonstrates how ReadLet can collect and analyze multimodal data from children reading short stories on a tablet, and how it can provide fine-grained and dynamic profiles of reading performance and strategy, based on linguistic annotation and psycholinguistic benchmarks.","The paper evaluates the validity and reliability of the tablet-based methodology, as well as the potential of the linguistic annotation and data modeling for understanding the factors affecting reading development and difficulties.","The paper involves 432 children from grades 3 to 6, including typically and atypically developing children, from Italy and Southern Switzerland.","The paper describes the procedure of the reading session, which consists of two short stories to be read either silently or aloud, while finger-tracking the text on the tablet screen, followed by some multiple-choice questions related to the text content.","The paper reports some preliminary results from a pilot data collection campaign, showing how ReadLet can replicate established findings from the reading literature, such as the effects of word length, frequency, grade, reading condition, and learning difficulties on reading speed and accuracy.",IEEE,,
"""Natural Language Processing"" AND ""Child Reading""",Young Children’s Reading and Learning with Conversational Agents,"The study aims to explore the design of a storytelling CA and examine children’s verbal, behavioral interactions, and perceptions during their reading experience with the CA",2019,,"The study involved designing a storytelling CA, observing children’s interactions with the CA, and conducting post-reading interviews to gather children’s perceptions.",The research provides insights into the affordances and obstacles of voice-based apps for early learning and offers design implications for dialogic systems for young children’s informal learning,"The study took place at the child’s or researcher’s home, using a Google Home Mini device for the CA and a hard copy book for the reading sessions", Five children (Mean age = 60 months) from a suburban city in Southern California participated in the study,,"The study found that children actively responded to the CA’s prompts, showed affective reactions to feedback, and quickly learned the schema of interacting with a digital interlocutor",ACM,The paper addresses the underutilization of CAs for facilitating young children’s everyday learning.,
"""reading assessment""",Development and Evaluation of a Tablet-Based Reading Fluency Test for Primary School Children,The focus is on creating a digital version of a reading fluency test that retains the reliability of the paper-based test while also being more appealing to children,2021,,"The study involved developing two tablet-based test designs, one true-to-original (TDId) and one optimized for tablets (TDOpt), and comparing them with the paper-based test.",The paper contributes to the field by suggesting that a tablet-optimized reading fluency test not only retains test reliability but is also more appealing to primary school children,The evaluation was conducted with 21 fourth graders in a user test setting.,"The participants were primary school children, with some diagnosed with developmental dyslexia.",The study involved three test sessions with two-week intervals between each session.,"The results indicated very high reliability for both tablet-based versions, with children scoring significantly higher on the TDId than on other tests, while scores on the TDOpt matched the conventional test",ACM,The paper addresses the gap of lacking empirically evaluated tablet-based reading tests for German.,"The study’s sample size is relatively small, with only 21 fourth graders participating. This limited sample may not provide a comprehensive view of the tablet-based tests’ effectiveness across a broader population of students with varying reading abilities and familiarity with digital devices."
"""reading assessment""",A Web Application for Reading and Attentional Assessments,The goal is to facilitate the work of clinicians in reading and attentional assessment by providing a web application that automates the calculation of children’s scores based on performance in standardized tests.,2018,,"The paper describes various tests for assessing reading and attentional skills, including word and pseudoword reading skills, and attentional tests involving bars, mazes, geometric shapes, and denomination tests.","The contribution is the creation of a web application that simplifies the assessment process by automatically calculating standardized scores, thus aiding in the diagnosis and treatment efficacy evaluation of developmental dyslexia.",The setting for the evaluation is not explicitly mentioned in the current context.,"The profile of participants is not detailed in the current context, but the application is intended for schooling children.",,,ACM,The paper identifies a gap in the availability of tests for reading and attentional skills in the Italian language and the need for an automated system to process test data.,
ai-assisted reading interventions,Educational Robot AI-Assisted Reading Promotes Foreign Children’s Chinese Acquisition: An Experimental Study,The study focuses on whether extracurricular AI-assisted bilingual reading using educational robots can enhance Chinese language skills and general bilingualism in foreign children,2023,,The study involved a six-week after-school autonomous AI-assisted reading experiment with educational robots using electronic audio picture books,"The experiment demonstrated that AI-assisted reading significantly improved the children’s Chinese character recognition and reading comprehension, as well as their spoken expression and pronunciation.","The setting was an international primary school in Hangzhou, China, where the experiment was conducted.","Three foreign children from Grade 1, two American girls and one English boy, participated in the study.","The children engaged in AI-assisted reading 1-2 times a day, for 20-30 minutes each session, over a period of six weeks.","The children recognized over 2,000 Chinese characters with 80% reading comprehension accuracy, which was significantly higher than the control group",ACM,,
assessment language,Automatic Assessment of Language Ability in Children with and without Typical Development,,2020,https://ieeexplore.ieee.org/document/9175264,"automatically transcribes the vocal responses using a test-specific automatic speech recognition system. From the transcriptions, a regression model predicts the gold standard test scores","The study develops a sentence repetition task for evaluating language ability in children using automatic speech recognition. It involves task creation, test administration, and automatic assessment using regression models to predict scores.",Assessment using an iPad application,104 children with typical or atypical development,,,IEEE,,
development of nlp algorithms for reading comprehension,A Reading Comprehension Interface for Students with Learning Disorders.,The goal is to explore how modern NLP techniques can be integrated into hybrid therapeutic practices to make text comprehension rehabilitation more accessible and inclusive for students with special educational needs and disabilities,2023,,"The paper outlines the design process of the interface, developed in collaboration with speech and language therapists, and describes the functionalities integrated into the interface to support different aspects of reading comprehension",The paper’s contributions include the design of the NLP-powered interface as a proof of concept for treating reading comprehension difficulties and the initial evaluation of the interface in a general public setting and a clinical setting.,The interface was evaluated at the Rome-European Edition Maker Faire and is currently being tested in a clinical setting with children diagnosed with Neuro-developmental Disorders.," The clinical evaluation involves approximately thirty children selected based on age, schooling, and functional profiles","The experimentation period includes two therapy sessions per week over three months, with a total of 24 sessions","The paper mentions the positive reception of the interface among users at the Maker Faire, with high average scores across different sections of the platform.",ACM,"The paper discusses the development of an NLP-powered reading comprehension interface designed to assist students with learning disorders. It highlights the lack of systems that focus on rehabilitating reading comprehension skills through NLP techniques, particularly for clinical contexts. The authors aim to fill this gap by creating a tool that is inclusive and accessible for students with special educational needs, whether they are present or at a distance. The interface integrates functionalities based on psycho-linguistic theories and is evaluated in both public and clinical settings to assess its effectiveness and usability.",
interactive reading platforms,Developing A Bilingual Conversational Agent to Support Parent-Child Shared Reading,"create a bilingual conversational agent and e-book that cater to the cultural and linguistic needs of bilingual children, particularly Latinx Spanish-English bilingual children, and involve parents in the reading process",2023,,"The project involved developing the conversational agent and e-book, conducting a user study with Latinx parent-child pairs, and evaluating the usability and effectiveness of the system through observations and interviews.",The study contributes design insights for creating conversational agents for bilingual children and highlights the importance of culturally-responsive design in educational media5.,The evaluation took place in a community center with participants recruited from a local school district serving predominantly Latinx children.,The user study involved 18 pairs of Latinx parents and children aged 3-6 years old.," Each session lasted an average of 25 minutes, followed by a 20-minute interview.",The results indicated that the bilingual agent effectively engaged children verbally and encouraged parental involvement in reading processes,ACM,The paper addresses the gap in current conversational agents and e-books that do not adequately support bilingual children and parent involvement,
