word,sentence,index,label
thence,"In 1832 his family emigrated thence to Belleville , Ontario , where he apprenticed with the printer at the town newspaper , The Belleville Intelligencer .",5,0.421052632
apprenticed,"In 1832 his family emigrated thence to Belleville , Ontario , where he apprenticed with the printer at the town newspaper , The Belleville Intelligencer .",13,0.157894737
family,"In 1832 his family emigrated thence to Belleville , Ontario , where he apprenticed with the printer at the town newspaper , The Belleville Intelligencer .",3,0
emigrated,"In 1832 his family emigrated thence to Belleville , Ontario , where he apprenticed with the printer at the town newspaper , The Belleville Intelligencer .",4,0
printer,"In 1832 his family emigrated thence to Belleville , Ontario , where he apprenticed with the printer at the town newspaper , The Belleville Intelligencer .",16,0
town,"In 1832 his family emigrated thence to Belleville , Ontario , where he apprenticed with the printer at the town newspaper , The Belleville Intelligencer .",19,0
newspaper,"In 1832 his family emigrated thence to Belleville , Ontario , where he apprenticed with the printer at the town newspaper , The Belleville Intelligencer .",20,0
exiled,"Leo , on December 23 , took an oath of purgation concerning the charges brought against him , and his opponents were exiled .",22,0.105263158
oath,"Leo , on December 23 , took an oath of purgation concerning the charges brought against him , and his opponents were exiled .",8,0.315789474
purgation,"Leo , on December 23 , took an oath of purgation concerning the charges brought against him , and his opponents were exiled .",10,0.578947368
charges,"Leo , on December 23 , took an oath of purgation concerning the charges brought against him , and his opponents were exiled .",13,0.052631579
took,"Leo , on December 23 , took an oath of purgation concerning the charges brought against him , and his opponents were exiled .",6,0
concerning,"Leo , on December 23 , took an oath of purgation concerning the charges brought against him , and his opponents were exiled .",11,0
brought,"Leo , on December 23 , took an oath of purgation concerning the charges brought against him , and his opponents were exiled .",14,0
opponents,"Leo , on December 23 , took an oath of purgation concerning the charges brought against him , and his opponents were exiled .",20,0
were,"Leo , on December 23 , took an oath of purgation concerning the charges brought against him , and his opponents were exiled .",21,0
blast,"During the attack , a blast from the explosion of gunpowder stored in Captain Jacobs 's house was heard in Pittsburgh , 44 miles away .",5,0.157894737
attack,"During the attack , a blast from the explosion of gunpowder stored in Captain Jacobs 's house was heard in Pittsburgh , 44 miles away .",2,0.052631579
heard,"During the attack , a blast from the explosion of gunpowder stored in Captain Jacobs 's house was heard in Pittsburgh , 44 miles away .",18,0.052631579
stored,"During the attack , a blast from the explosion of gunpowder stored in Captain Jacobs 's house was heard in Pittsburgh , 44 miles away .",11,0.052631579
was,"During the attack , a blast from the explosion of gunpowder stored in Captain Jacobs 's house was heard in Pittsburgh , 44 miles away .",17,0.052631579
away,"During the attack , a blast from the explosion of gunpowder stored in Captain Jacobs 's house was heard in Pittsburgh , 44 miles away .",24,0.052631579
house,"During the attack , a blast from the explosion of gunpowder stored in Captain Jacobs 's house was heard in Pittsburgh , 44 miles away .",16,0.052631579
gunpowder,"During the attack , a blast from the explosion of gunpowder stored in Captain Jacobs 's house was heard in Pittsburgh , 44 miles away .",10,0.052631579
explosion,"During the attack , a blast from the explosion of gunpowder stored in Captain Jacobs 's house was heard in Pittsburgh , 44 miles away .",8,0.052631579
miles,"During the attack , a blast from the explosion of gunpowder stored in Captain Jacobs 's house was heard in Pittsburgh , 44 miles away .",23,0.052631579
have,"Although anoxic events have not happened for millions of years , the geological record shows that they happened many times in the past .",3,0.052631579
events,"Although anoxic events have not happened for millions of years , the geological record shows that they happened many times in the past .",2,0.052631579
times,"Although anoxic events have not happened for millions of years , the geological record shows that they happened many times in the past .",19,0.052631579
anoxic,"Although anoxic events have not happened for millions of years , the geological record shows that they happened many times in the past .",1,0.684210526
years,"Although anoxic events have not happened for millions of years , the geological record shows that they happened many times in the past .",9,0.052631579
record,"Although anoxic events have not happened for millions of years , the geological record shows that they happened many times in the past .",13,0.052631579
not,"Although anoxic events have not happened for millions of years , the geological record shows that they happened many times in the past .",4,0.052631579
millions,"Although anoxic events have not happened for millions of years , the geological record shows that they happened many times in the past .",7,0.052631579
geological,"Although anoxic events have not happened for millions of years , the geological record shows that they happened many times in the past .",12,0.052631579
shows,"Although anoxic events have not happened for millions of years , the geological record shows that they happened many times in the past .",14,0.052631579
happened,"Although anoxic events have not happened for millions of years , the geological record shows that they happened many times in the past .",17,0.052631579
happened,"Although anoxic events have not happened for millions of years , the geological record shows that they happened many times in the past .",5,0.052631579
past,"Although anoxic events have not happened for millions of years , the geological record shows that they happened many times in the past .",22,0
batch,It just so happens in this batch of songs I would look at these subjects and thought it was good for writing .,6,0.263157895
just,It just so happens in this batch of songs I would look at these subjects and thought it was good for writing .,1,0
so,It just so happens in this batch of songs I would look at these subjects and thought it was good for writing .,2,0
happens,It just so happens in this batch of songs I would look at these subjects and thought it was good for writing .,3,0
songs,It just so happens in this batch of songs I would look at these subjects and thought it was good for writing .,8,0
look,It just so happens in this batch of songs I would look at these subjects and thought it was good for writing .,11,0
subjects,It just so happens in this batch of songs I would look at these subjects and thought it was good for writing .,14,0
thought,It just so happens in this batch of songs I would look at these subjects and thought it was good for writing .,16,0
was,It just so happens in this batch of songs I would look at these subjects and thought it was good for writing .,18,0
good,It just so happens in this batch of songs I would look at these subjects and thought it was good for writing .,19,0
writing,It just so happens in this batch of songs I would look at these subjects and thought it was good for writing .,21,0
extraordinary,"The name `` kangaroo mouse '' refers to the species ' extraordinary jumping ability , as well as its habit of bipedal locomotion .",11,0
bipedal,"The name `` kangaroo mouse '' refers to the species ' extraordinary jumping ability , as well as its habit of bipedal locomotion .",21,0.421052632
locomotion,"The name `` kangaroo mouse '' refers to the species ' extraordinary jumping ability , as well as its habit of bipedal locomotion .",22,0.210526316
name,"The name `` kangaroo mouse '' refers to the species ' extraordinary jumping ability , as well as its habit of bipedal locomotion .",1,0
kangaroo,"The name `` kangaroo mouse '' refers to the species ' extraordinary jumping ability , as well as its habit of bipedal locomotion .",3,0
mouse,"The name `` kangaroo mouse '' refers to the species ' extraordinary jumping ability , as well as its habit of bipedal locomotion .",4,0
refers,"The name `` kangaroo mouse '' refers to the species ' extraordinary jumping ability , as well as its habit of bipedal locomotion .",6,0
species,"The name `` kangaroo mouse '' refers to the species ' extraordinary jumping ability , as well as its habit of bipedal locomotion .",9,0
jumping,"The name `` kangaroo mouse '' refers to the species ' extraordinary jumping ability , as well as its habit of bipedal locomotion .",12,0
ability,"The name `` kangaroo mouse '' refers to the species ' extraordinary jumping ability , as well as its habit of bipedal locomotion .",13,0
habit,"The name `` kangaroo mouse '' refers to the species ' extraordinary jumping ability , as well as its habit of bipedal locomotion .",19,0
daylight,"The burrow , the entrance to which the mouse covers during daylight hours , is also used to raise litters of between 2 and 7 young .",11,0.105263158
also,"The burrow , the entrance to which the mouse covers during daylight hours , is also used to raise litters of between 2 and 7 young .",15,0.052631579
hours,"The burrow , the entrance to which the mouse covers during daylight hours , is also used to raise litters of between 2 and 7 young .",12,0.052631579
covers,"The burrow , the entrance to which the mouse covers during daylight hours , is also used to raise litters of between 2 and 7 young .",9,0.052631579
mouse,"The burrow , the entrance to which the mouse covers during daylight hours , is also used to raise litters of between 2 and 7 young .",8,0.052631579
entrance,"The burrow , the entrance to which the mouse covers during daylight hours , is also used to raise litters of between 2 and 7 young .",4,0.052631579
used,"The burrow , the entrance to which the mouse covers during daylight hours , is also used to raise litters of between 2 and 7 young .",16,0.052631579
litters,"The burrow , the entrance to which the mouse covers during daylight hours , is also used to raise litters of between 2 and 7 young .",19,0.105263158
raise,"The burrow , the entrance to which the mouse covers during daylight hours , is also used to raise litters of between 2 and 7 young .",18,0.052631579
burrow,"The burrow , the entrance to which the mouse covers during daylight hours , is also used to raise litters of between 2 and 7 young .",1,0.473684211
is,"The burrow , the entrance to which the mouse covers during daylight hours , is also used to raise litters of between 2 and 7 young .",14,0.052631579
young,"The burrow , the entrance to which the mouse covers during daylight hours , is also used to raise litters of between 2 and 7 young .",25,0
unable,"Midway through the 1992 season , the team collapsed financially as Middlebridge was unable to make repayments against loans provided by Landhurst Leasing .",13,0.052631579
loans,"Midway through the 1992 season , the team collapsed financially as Middlebridge was unable to make repayments against loans provided by Landhurst Leasing .",18,0.157894737
season,"Midway through the 1992 season , the team collapsed financially as Middlebridge was unable to make repayments against loans provided by Landhurst Leasing .",4,0
team,"Midway through the 1992 season , the team collapsed financially as Middlebridge was unable to make repayments against loans provided by Landhurst Leasing .",7,0
collapsed,"Midway through the 1992 season , the team collapsed financially as Middlebridge was unable to make repayments against loans provided by Landhurst Leasing .",8,0
financially,"Midway through the 1992 season , the team collapsed financially as Middlebridge was unable to make repayments against loans provided by Landhurst Leasing .",9,0
was,"Midway through the 1992 season , the team collapsed financially as Middlebridge was unable to make repayments against loans provided by Landhurst Leasing .",12,0
make,"Midway through the 1992 season , the team collapsed financially as Middlebridge was unable to make repayments against loans provided by Landhurst Leasing .",15,0
repayments,"Midway through the 1992 season , the team collapsed financially as Middlebridge was unable to make repayments against loans provided by Landhurst Leasing .",16,0
provided,"Midway through the 1992 season , the team collapsed financially as Middlebridge was unable to make repayments against loans provided by Landhurst Leasing .",19,0
won,"During this period , teams using Brabham cars won championships in Formula Two and Formula Three and competed in the Indianapolis 500 .",8,0.052631579
period,"During this period , teams using Brabham cars won championships in Formula Two and Formula Three and competed in the Indianapolis 500 .",2,0
teams,"During this period , teams using Brabham cars won championships in Formula Two and Formula Three and competed in the Indianapolis 500 .",4,0
using,"During this period , teams using Brabham cars won championships in Formula Two and Formula Three and competed in the Indianapolis 500 .",5,0
cars,"During this period , teams using Brabham cars won championships in Formula Two and Formula Three and competed in the Indianapolis 500 .",7,0
championships,"During this period , teams using Brabham cars won championships in Formula Two and Formula Three and competed in the Indianapolis 500 .",9,0
competed,"During this period , teams using Brabham cars won championships in Formula Two and Formula Three and competed in the Indianapolis 500 .",17,0
thick,"Their thick , shimmery fur sparkles with tiny lights ; their Kewpie doll style heads are hairless and feature big eyes with rows of lights for eyebrows .",1,0.052631579
shimmery,"Their thick , shimmery fur sparkles with tiny lights ; their Kewpie doll style heads are hairless and feature big eyes with rows of lights for eyebrows .",3,0.315789474
sparkles,"Their thick , shimmery fur sparkles with tiny lights ; their Kewpie doll style heads are hairless and feature big eyes with rows of lights for eyebrows .",5,0.105263158
fur,"Their thick , shimmery fur sparkles with tiny lights ; their Kewpie doll style heads are hairless and feature big eyes with rows of lights for eyebrows .",4,0.052631579
rows,"Their thick , shimmery fur sparkles with tiny lights ; their Kewpie doll style heads are hairless and feature big eyes with rows of lights for eyebrows .",22,0.052631579
eyebrows,"Their thick , shimmery fur sparkles with tiny lights ; their Kewpie doll style heads are hairless and feature big eyes with rows of lights for eyebrows .",26,0.052631579
tiny,"Their thick , shimmery fur sparkles with tiny lights ; their Kewpie doll style heads are hairless and feature big eyes with rows of lights for eyebrows .",7,0
lights,"Their thick , shimmery fur sparkles with tiny lights ; their Kewpie doll style heads are hairless and feature big eyes with rows of lights for eyebrows .",8,0
doll,"Their thick , shimmery fur sparkles with tiny lights ; their Kewpie doll style heads are hairless and feature big eyes with rows of lights for eyebrows .",12,0
style,"Their thick , shimmery fur sparkles with tiny lights ; their Kewpie doll style heads are hairless and feature big eyes with rows of lights for eyebrows .",13,0
heads,"Their thick , shimmery fur sparkles with tiny lights ; their Kewpie doll style heads are hairless and feature big eyes with rows of lights for eyebrows .",14,0
are,"Their thick , shimmery fur sparkles with tiny lights ; their Kewpie doll style heads are hairless and feature big eyes with rows of lights for eyebrows .",15,0
hairless,"Their thick , shimmery fur sparkles with tiny lights ; their Kewpie doll style heads are hairless and feature big eyes with rows of lights for eyebrows .",16,0
feature,"Their thick , shimmery fur sparkles with tiny lights ; their Kewpie doll style heads are hairless and feature big eyes with rows of lights for eyebrows .",18,0
big,"Their thick , shimmery fur sparkles with tiny lights ; their Kewpie doll style heads are hairless and feature big eyes with rows of lights for eyebrows .",19,0
eyes,"Their thick , shimmery fur sparkles with tiny lights ; their Kewpie doll style heads are hairless and feature big eyes with rows of lights for eyebrows .",20,0
lights,"Their thick , shimmery fur sparkles with tiny lights ; their Kewpie doll style heads are hairless and feature big eyes with rows of lights for eyebrows .",24,0
burrow,"The Pale Kangaroo Mouse burrows only in fine sand , while the Dark Kangaroo Mouse prefers fine , gravelly soils but may also burrow in sand or sandy soil .",23,0.368421053
soil,"The Pale Kangaroo Mouse burrows only in fine sand , while the Dark Kangaroo Mouse prefers fine , gravelly soils but may also burrow in sand or sandy soil .",28,0
burrows,"The Pale Kangaroo Mouse burrows only in fine sand , while the Dark Kangaroo Mouse prefers fine , gravelly soils but may also burrow in sand or sandy soil .",4,0.315789474
soils,"The Pale Kangaroo Mouse burrows only in fine sand , while the Dark Kangaroo Mouse prefers fine , gravelly soils but may also burrow in sand or sandy soil .",19,0.052631579
gravelly,"The Pale Kangaroo Mouse burrows only in fine sand , while the Dark Kangaroo Mouse prefers fine , gravelly soils but may also burrow in sand or sandy soil .",18,0.315789474
only,"The Pale Kangaroo Mouse burrows only in fine sand , while the Dark Kangaroo Mouse prefers fine , gravelly soils but may also burrow in sand or sandy soil .",5,0
fine,"The Pale Kangaroo Mouse burrows only in fine sand , while the Dark Kangaroo Mouse prefers fine , gravelly soils but may also burrow in sand or sandy soil .",7,0
sand,"The Pale Kangaroo Mouse burrows only in fine sand , while the Dark Kangaroo Mouse prefers fine , gravelly soils but may also burrow in sand or sandy soil .",8,0
prefers,"The Pale Kangaroo Mouse burrows only in fine sand , while the Dark Kangaroo Mouse prefers fine , gravelly soils but may also burrow in sand or sandy soil .",15,0
fine,"The Pale Kangaroo Mouse burrows only in fine sand , while the Dark Kangaroo Mouse prefers fine , gravelly soils but may also burrow in sand or sandy soil .",16,0
also,"The Pale Kangaroo Mouse burrows only in fine sand , while the Dark Kangaroo Mouse prefers fine , gravelly soils but may also burrow in sand or sandy soil .",22,0
sand,"The Pale Kangaroo Mouse burrows only in fine sand , while the Dark Kangaroo Mouse prefers fine , gravelly soils but may also burrow in sand or sandy soil .",25,0
sandy,"The Pale Kangaroo Mouse burrows only in fine sand , while the Dark Kangaroo Mouse prefers fine , gravelly soils but may also burrow in sand or sandy soil .",27,0
sericeus,"Theobroma species are used as food plants by the larvae of some moths of the genus Endoclita including E. chalybeatus , E. damor , E. hosei and E. sericeus .",28,0.894736842
moths,"Theobroma species are used as food plants by the larvae of some moths of the genus Endoclita including E. chalybeatus , E. damor , E. hosei and E. sericeus .",12,0.210526316
