word,lemma,frequency
the,the,25131726
and,and,12368293
of,of,11971724
a,a,10327063
in,in,8035789
to,to,7277326
I,i,4725236
to,to,4456281
it,it,4453425
is,be,4237443
that,that,3921414
for,for,3787585
you,you,3568520
was,be,3384649
he,he,3323458
with,with,3095076
on,on,2871374
's,'s,2439692
at,at,2275149
this,this,2174309
they,they,2131091
be,be,2118716
are,be,2104334
have,have,2095853
we,we,2092768
his,his,2054779
but,but,2048800
that,that,1968632
from,from,1884593
not,not,1871822
n't,n't,1858869
she,she,1719851
by,by,1698219
or,or,1562165
do,do,1520565
an,a,1495549
as,as,1480797
had,have,1385700
what,what,1361267
were,be,1239291
their,their,1236355
all,all,1227134
has,have,1192491
who,who,1167096
her,her,1127332
my,my,1072807
if,if,1072615
would,would,1057682
said,say,1037828
about,about,1012181
can,can,987145
as,as,945873
up,up,919716
been,be,900765
so,so,896924
there,there,895233
one,one,878532
will,will,860681
me,me,836298
just,just,789790
people,people,787366
when,when,780204
which,which,779666
them,them,775168
him,him,775020
did,do,772423
out,out,772414
your,your,769838
some,some,769053
into,into,765592
know,know,729909
time,time,721409
could,could,711592
now,now,695697
than,than,665133
like,like,659427
',',640161
think,think,636809
how,how,626966
then,then,623879
other,other,621653
our,our,610183
its,its,603623
these,these,586061
get,get,584993
two,two,584444
says,say,570397
going,go,537252
also,also,537098
first,first,530956
years,year,527547
because,because,506269
new,new,492693
well,well,489487
more,more,486372
see,see,482714
no,no,476659
here,here,476046
way,way,467800
her,her,461605
very,very,445323
many,many,437522
those,those,434590
only,only,429758
back,back,424619
go,go,423476
say,say,422280
one,one,422033
us,us,417833
even,even,415055
good,good,410105
make,make,410091
through,through,394093
any,any,393870
there,there,381355
down,down,379010
want,want,375156
more,more,373740
does,do,367907
may,may,363929
after,after,360173
year,year,355002
should,should,354862
over,over,346899
still,still,341583
world,world,337070
last,last,333047
take,take,332647
day,day,329417
in,in,327849
too,too,322209
as,as,321322
life,life,319765
when,when,310641
really,really,308802
man,man,305734
three,three,305225
between,between,301388
never,never,301061
something,something,295287
being,be,294908
much,much,280652
school,school,277496
out,out,276955
president,president,274806
another,another,274675
own,own,273741
on,on,272922
why,why,272531
right,right,269177
while,while,269151
most,most,258732
things,thing,254898
state,state,254000
same,same,253754
come,come,253717
children,child,253431
house,house,252712
every,every,245745
where,where,245573
american,american,243074
might,might,239760
about,about,239440
over,over,238978
women,woman,237492
again,again,237155
such,such,231593
against,against,231459
percent,percent,226940
few,few,226559
each,each,226115
where,where,225423
students,student,224968
most,most,222608
family,family,220939
more,more,220753
look,look,219384
during,during,217897
work,work,216058
so,so,214831
thing,thing,211671
off,off,211579
today,today,211033
great,great,208025
big,big,207742
always,always,207098
old,old,206861
next,next,204988
high,high,202671
came,come,201415
government,government,201118
city,city,200294
before,before,199507
got,get,198470
lot,lot,197277
part,part,196113
without,without,195831
night,night,194320
find,find,194132
country,country,191480
place,place,191204
tell,tell,190791
must,must,190684
national,national,190465
need,need,190335
money,money,188474
different,different,186925
under,under,186444
yes,yes,186378
went,go,184543
water,water,182459
war,war,178200
men,man,177630
small,small,177437
ca,can,177178
mean,mean,176428
made,make,176184
though,though,175276
room,room,175248
mother,mother,174147
group,group,172647
four,four,172595
took,take,172387
little,little,171727
system,system,170545
days,day,168944
black,black,168338
give,give,167750
like,like,167297
both,both,166517
away,away,166055
number,number,165705
around,around,165431
until,until,164965
fact,fact,164805
important,important,164447
woman,woman,163861
case,case,163296
after,after,163198
made,make,162309
political,political,162090
times,time,161988
doing,do,161616
let,let,161495
head,head,161350
since,since,161185
often,often,160220
among,among,159378
home,home,159370
however,however,159244
hand,hand,159216
million,million,158813
point,point,157480
help,help,156461
social,social,156243
ever,ever,156047
keep,keep,155606
yet,yet,155165
father,father,154625
week,week,154103
health,health,153487
long,long,151993
sure,sure,151900
business,business,151601
use,use,149459
feel,feel,148066
kind,kind,147762
young,young,147566
company,company,147470
eyes,eye,146341
power,power,145988
university,university,145617
almost,almost,145415
right,right,145404
done,do,145306
work,work,145048
information,information,144930
best,good,144894
five,five,144724
later,late,144601
nothing,nothing,144597
once,once,144550
much,much,144403
side,side,143688
ago,ago,143081
got,get,143011
white,white,142584
thought,think,142422
real,real,141957
end,end,141829
around,around,141124
news,news,140880
program,program,140818
several,several,140107
believe,believe,139978
whether,whether,139640
knew,know,139008
told,tell,138587
research,research,138586
public,public,138553
story,story,138313
together,together,137947
anything,anything,137800
problem,problem,137710
such,such,137063
education,education,136995
question,question,136389
back,back,136354
trying,try,135843
making,making,134695
only,only,133965
looking,look,132810
least,least,132652
already,already,132425
center,center,132398
table,table,131879
large,large,131200
having,have,130603
called,call,130036
